x,y,MIN_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,LOCAL_DAY,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,ID,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG
-113.85555555555555,53.66833333333334,,68,2023-11-02 00:00:00,,,,,,17.4,,,2,5.7,,,11,,,3012229,,,0,M,,0,-4.5,3012229.2023.11.2,AB,EDMONTON VILLENEUVE A,0.6,2023,95,,M
-112.86805555555556,53.68277777777778,,63,2023-11-02 00:00:00,,,,,,17.5,,,2,5,,,11,,,3012275,,,0,,,0,-3.9,3012275.2023.11.2,AB,ELK ISLAND NAT PARK,0.5,2023,98,,
-112.85778027777778,52.74361361111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012590,M,,,M,M,,,3012590.2023.11.2,AB,FERINTOSH AGCM,,2023,,,M
-111.8130575,52.04083555555555,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012635,M,,,M,M,,,3012635.2023.11.2,AB,FLEET AGCM,,2023,,,M
-112.12333416666667,52.54833472222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012653,M,,,M,M,,,3012653.2023.11.2,AB,FORESTBURG AGCM,,2023,,,M
-110.62083583333333,53.070835277777775,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012790,M,,,M,M,,,3012790.2023.11.2,AB,GILT EDGE NORTH AGCM,,2023,,,M
-114.32001111111111,53.29473055555555,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012799,M,,,M,M,,,3012799.2023.11.2,AB,ST. FRANCIS,,2023,,,M
-112.27808194444444,52.987248055555554,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012810,M,,,M,M,,,3012810.2023.11.2,AB,GLADSTONE AGCM,,2023,,,M
-114.53889027777778,53.832501666666666,,61,2023-11-02 00:00:00,M,,,,,16.3,,,2,4.7,,,11,,,3012818,,,,M,,0,-1.3,3012818.2023.11.2,AB,GLENEVIS AGCM,1.7,2023,91,,M
-110.8025,52.113055555555555,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012871,M,,,M,M,,,3012871.2023.11.2,AB,GOOSEBERRY LAKE AGCM,,2023,,,M
-112.16416694444445,52.11639111111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012999,M,,,M,M,,,3012999.2023.11.2,AB,HALKIRK AGCM,,2023,,,M
-111.21194555555556,51.77972416666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013140,M,,,M,M,,,3013140.2023.11.2,AB,HEMARUKA AGCM,,2023,,,M
-112.24611222222222,53.1850025,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013340,M,,,M,M,,,3013340.2023.11.2,AB,HOLDEN AGDM,,2023,,,M
-110.78361222222222,52.5780575,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013362,M,,,M,M,,,3013362.2023.11.2,AB,HUGHENDEN AGCM,,2023,,,M
-111.87194444444444,52.8475,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013640,M,,,M,M,,,3013640.2023.11.2,AB,KILLAM AGDM,,2023,,,M
-111.11305722222222,52.290277777777774,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013644,M,,,M,M,,,3013644.2023.11.2,AB,KESSLER AGCM,,2023,,,M
-111.5475,53.04694444444444,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013647,M,,,M,M,,,3013647.2023.11.2,AB,KINSELLA RESEARC STATION,,2023,,,M
-110.41611166666667,53.35333472222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013660,M,,,M,M,,,3013660.2023.11.2,AB,KITSCOTY AGCM,,2023,,,M
-113.47444472222222,54.003055833333335,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013790,M,,,M,M,,,3013790.2023.11.2,AB,LEGAL AGCM,,2023,,,M
-110.57888888888888,53.94277777777778,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3013921,M,,,M,M,,,3013921.2023.11.2,AB,LINDBERGH AGDM,,2023,,,M
-110.0725,53.30916666666667,,52,2023-11-02 00:00:00,,,,,,16.9,,,2,5.2,,,11,,,3013959,,,0,M,,0,-3,3013959.2023.11.2,AB,LLOYDMINSTER,1.1,2023,82,,M
-111.25528027777777,53.455557222222225,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3014195,M,,,M,M,,,3014195.2023.11.2,AB,MANNVILLE AGCM,,2023,,,M
-113.16500166666667,53.26222472222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3014795,M,,,M,M,,,3014795.2023.11.2,AB,NEW SAREPTA AGCM,,2023,,,M
-113.35,53.65,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3014921,M,,,M,M,,,3014921.2023.11.2,AB,OLIVER AGDM,,2023,,,M
-112.87916694444445,53.995000555555556,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015346,M,,,M,M,,,3015346.2023.11.2,AB,RADWAY AGCM,,2023,,,M
-111.72557222222223,53.42474722222222,,57,2023-11-02 00:00:00,,,,,,16.7,,1,2,5.4,,,11,,,3015401,,,0,,,0,-2.9,3015401.2023.11.2,AB,RANFURLY AUTO,1.3,2023,87,,
-110.34277916666667,52.58694527777778,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015480,M,,,M,M,,,3015480.2023.11.2,AB,RIBSTONE SOUTH AGCM,,2023,,,M
-110.10194527777777,53.01888972222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015501,M,,,M,M,,,3015501.2023.11.2,AB,RIVERCOURSE AGCM,,2023,,,M
-114.91222305555556,52.421390555555554,,55,2023-11-02 00:00:00,,,,,,18.1,,3,2,4.2,,,11,,,3015523,,,0,,,0,-4.4,3015523.2023.11.2,AB,ROCKY MTN HOUSE (AUT),-0.1,2023,90,,
-112.42236944444444,52.79226944444444,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015600,M,,,M,M,,,3015600.2023.11.2,AB,ROSALIND AGCM,,2023,,,M
-111.45305694444444,54.2822225,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015673,M,,,M,M,,,3015673.2023.11.2,AB,ST. LINA AGCM,,2023,,,M
-111.27194444444444,54.01111111111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015676,M,,,M,M,,,3015676.2023.11.2,AB,ST. PAUL AGCM,,2023,,,M
-110.75472277777777,51.59028,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015797,M,,,M,M,,,3015797.2023.11.2,AB,SEDALIA AGCM,,2023,,,M
-112.53944555555556,53.332500277777775,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3015900,M,,,M,M,,,3015900.2023.11.2,AB,SHONTS AGCM,,2023,,,M
-112.49916666666667,54.2775,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016022,M,,,M,M,,,3016022.2023.11.2,AB,SMOKY LAKE AGDM,,2023,,,M
-111.68250111111111,51.81583583333333,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016070,M,,,M,M,,,3016070.2023.11.2,AB,SPONDIN AGCM,,2023,,,M
-112.59555555555555,52.346944444444446,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016124,M,,,M,M,,,3016124.2023.11.2,AB,STETTLER AGDM,,2023,,,M
-113.89472361111112,53.21722416666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016441,M,,,M,M,,,3016441.2023.11.2,AB,THORSBY AGCM,,2023,,,M
-114.71833333333333,53.43944444444445,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016505,M,,,M,M,,,3016505.2023.11.2,AB,TOMAHAWK AGDM,,2023,,,M
-110.08083472222222,53.66416916666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016593,M,,,M,M,,,3016593.2023.11.2,AB,TULLIBY LAKE AGCM,,2023,,,M
-111.67833333333333,53.625277777777775,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016655,M,,,M,M,,,3016655.2023.11.2,AB,TWO HILLS AGDM,,2023,,,M
-110.8818611111111,53.343805555555555,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016802,M,,,M,M,,,3016802.2023.11.2,AB,VERMILION AGDM,,2023,,,M
-111.73166694444444,53.18222222222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3016841,M,,,M,M,,,3016841.2023.11.2,AB,VIKING AGCM,,2023,,,M
-112.09777888888888,53.50527861111111,,56,2023-11-02 00:00:00,,,,,,16.2,,,2,5.9,,,11,,,3016GF0,,,0,,,0,-2.3,3016GF0.2023.11.2,AB,VEGREVILLE,1.8,2023,84,,
-113.4441675,52.98027972222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3017282,M,,,M,M,,,3017282.2023.11.2,AB,WETASKIWIN AGCM,,2023,,,M
-114.10835277777778,53.547244444444445,,63,2023-11-02 00:00:00,,,,,,16.4,,,2,4.9,,,11,,,301A001,,,0,,,0,-1.8,301A001.2023.11.2,AB,EDMONTON STONY PLAIN CS,1.6,2023,92,,
-110.2061361111111,51.66974166666667,,56,2023-11-02 00:00:00,,,,,,17.8,,0,2,5.5,,,11,,,301B460,,,0,,,0,-5.2,301B460.2023.11.2,AB,ESTHER 1,0.2,2023,90,,
-111.0955575,52.82944611111111,,52,2023-11-02 00:00:00,,,,,,16.6,,4,2,6.2,,,11,,,301S001,,,0,,,0,-3.4,301S001.2023.11.2,AB,WAINWRIGHT CFB AIRFIELD 21,1.4,2023,91,,
-110.31696944444444,51.06613611111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3020035,M,,,M,M,,,3020035.2023.11.2,AB,ACADIA VALLEY,,2023,,,M
-111.00556388888889,50.81001944444444,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3020405,M,,,M,M,,,3020405.2023.11.2,AB,ATLEE AGCM,,2023,,,M
-113.3572225,51.378613055555554,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3020610,M,,,M,M,,,3020610.2023.11.2,AB,BEISEKER AGCM,,2023,,,M
-112.80250166666667,51.99777944444445,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3020679,M,,,M,M,,,3020679.2023.11.2,AB,BIG VALLEY AGCM,,2023,,,M
-110.68558,50.798099722222226,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3020950,M,,,M,M,,,3020950.2023.11.2,AB,BUFFALO AGCM,,2023,,,M
-111.22139138888889,51.0236125,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3021000,M,,,M,M,,,3021000.2023.11.2,AB,CABIN LAKE AGCM,,2023,,,M
-110.7966888888889,51.066947222222225,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3021200,M,,,M,M,,,3021200.2023.11.2,AB,CAPPON,,2023,,,M
-110.82439972222222,51.275799722222224,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3021463,M,,,M,M,,,3021463.2023.11.2,AB,CEREAL AGCM,,2023,,,M
-112.25222333333333,51.77500027777778,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3021912,M,,,M,M,,,3021912.2023.11.2,AB,CRAIGMYLE AGCM,,2023,,,M
-112.67666666666666,51.445277777777775,,63,2023-11-02 00:00:00,,,,,,17.3,,4,2,5.1,,,11,,,30221LG,,,0,,,0,-3.7,30221LG.2023.11.2,AB,DRUMHELLER EAST,0.7,2023,91,,
-112.09736972222223,51.05319,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3022650,M,,,M,M,,,3022650.2023.11.2,AB,FINNEGAN AGCM,,2023,,,M
-112.13519972222223,51.4525,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3022990,M,,,M,M,,,3022990.2023.11.2,AB,HAND HILLS AGCM,,2023,,,M
-114.48583388888889,52.310002222222224,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3023200,M,,,M,M,,,3023200.2023.11.2,AB,HESPERO AGCM,,2023,,,M
-112.5,51.18333333333333,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3023402,M,,,M,M,,,3023402.2023.11.2,AB,HUSSAR AGDM,,2023,,,M
-110.358915,51.91307805555556,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3023660,M,,,M,M,,,3023660.2023.11.2,AB,KIRRIEMUIR AGCM,,2023,,,M
-113.75583472222222,52.44889055555556,,68,2023-11-02 00:00:00,,,,,,18.4,,4,2,3.6,,,11,,,3023722,,,0,,,0,-4.5,3023722.2023.11.2,AB,LACOMBE CDA 2,-0.4,2023,91,,
-114.4725,52.55305555555555,M,,2023-11-02 00:00:00,M,,,M,,,M,0,2,,M,M,11,,,3023740,M,,,M,M,,,3023740.2023.11.2,AB,LEEDALE AGDM,,2023,,,M
-113.65555805555556,51.61889138888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3023850,M,,,M,M,,,3023850.2023.11.2,AB,LINDEN AGCM,,2023,,,M
-110.3412,49.45771,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3023900,M,,,M,M,,,3023900.2023.11.2,AB,LODGE CREEK,,2023,,,M
-112.675,51.66027777777778,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3024668,M,,,M,M,,,3024668.2023.11.2,AB,MORRIN AGDM,,2023,,,M
-114.08472222222223,51.75861111111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3024925,M,,,M,M,,,3024925.2023.11.2,AB,OLDS AGDM,,2023,,,M
-110.35,51.38333333333333,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3024965,M,,,M,M,,,3024965.2023.11.2,AB,OYEN AGDM,,2023,,,M
-111.62099972222222,50.74002,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3025013,M,,,M,M,,,3025013.2023.11.2,AB,PATRICIA AGCM,,2023,,,M
-111.70527777777778,51.125277777777775,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3025243,M,,,M,M,,,3025243.2023.11.2,AB,POLLOCKVILLE AGDM,,2023,,,M
-113.6,52.43333333333333,,50,2023-11-02 00:00:00,,,,,,17.5,,,2,3,,,11,,,3025297,,,0,,,0,-1.9,3025297.2023.11.2,AB,PRENTISS,0.5,2023,93,,
-113.89444444444445,52.18222222222222,,67,2023-11-02 00:00:00,,,,,,18.8,,,2,3.1,,,11,,,3025484,,,0,M,,0,-4.7,3025484.2023.11.2,AB,RED DEER REGIONAL A,-0.8,2023,92,,M
-113.61972222222222,53.691944444444445,,67,2023-11-02 00:00:00,,,,,,17,,,2,5.7,,,11,,,3025750,,,0,,,0,-3.7,3025750.2023.11.2,AB,ST. ALBERT RESEARCH STATION,1,2023,95,,
-110.09055555555555,50.30694444444445,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3025768,M,,,M,M,,,3025768.2023.11.2,AB,SCHULER AGDM,,2023,,,M
-111.64639972222223,51.46278,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3025890,M,,,M,M,,,3025890.2023.11.2,AB,SHEERNESS AGCM,,2023,,,M
-111.3880638888889,51.30083611111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3026264,M,,,M,M,,,3026264.2023.11.2,AB,SUNNYNOOK AGCM,,2023,,,M
-113.20558194444445,51.76752277777778,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3026479,M,,,M,M,,,3026479.2023.11.2,AB,THREE HILLS,,2023,,,M
-111.95500611111112,50.89502111111111,M,,2023-11-02 00:00:00,M,,,M,,,M,0,2,,M,M,11,,,3026800,M,,,M,M,,,3026800.2023.11.2,AB,VERGER,,2023,,,M
-114.6825,51.778055555555554,,52,2023-11-02 00:00:00,,,,,,17.8,,0,2,4.3,,,11,,,3026KNQ,,,1.1,,,0,-4,3026KNQ.2023.11.2,AB,SUNDRE A,0.2,2023,97,,
-113.5908338888889,51.935835833333336,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3027582,M,,,M,M,,,3027582.2023.11.2,AB,WIMBORNE AGCM,,2023,,,M
-113.4339138888889,49.52751111111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030200,M,,,M,M,,,3030200.2023.11.2,AB,ARDENVILLE,,2023,,,M
-114.01306111111111,50.511944444444445,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030450,M,,,M,M,,,3030450.2023.11.2,AB,AZURE,,2023,,,M
-112.3,49.8,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030525,M,,,M,M,,,3030525.2023.11.2,AB,BARNWELL AGDM,,2023,,,M
-113.22444694444444,50.02583555555555,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030529,M,,,M,M,,,3030529.2023.11.2,AB,BARONS AGCM,,2023,,,M
-112.4650025,50.89250138888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030540,M,,,M,M,,,3030540.2023.11.2,AB,BASSANO AGCM,,2023,,,M
-114.15166722222222,50.70666888888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030680,M,,,M,M,,,3030680.2023.11.2,AB,BLACK DIAMOND,,2023,,,M
-113.64027777777778,50.54557888888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030690,M,,,M,M,,,3030690.2023.11.2,AB,BLACKIE AGCM,,2023,,,M
-113.05,49.56666666666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030720,M,,,M,M,,,3030720.2023.11.2,AB,BLOOD TRIBE AGDM,,2023,,,M
-111.45027777777777,49.734186111111114,,74,2023-11-02 00:00:00,,,,,,16.9,,,2,5.5,,,11,,,3030768,,,0,,,0,-3.3,3030768.2023.11.2,AB,BOW ISLAND,1.1,2023,93,,
-113.81666666666666,49.61666666666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030830,M,,,M,M,,,3030830.2023.11.2,AB,BROCKET AGDM,,2023,,,M
-110.48409972222223,50.33947,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3030879,M,,,M,M,,,3030879.2023.11.2,AB,BULL SPRINGS AGCM,,2023,,,M
-111.84889722222222,50.55529722222222,,75,2023-11-02 00:00:00,,,,,,19.1,,1,2,3.2,,,11,,,3030QLP,,,0,,,0,-5.4,3030QLP.2023.11.2,AB,BROOKS,-1.1,2023,95,,
-114.01333333333334,51.1225,,51,2023-11-02 00:00:00,,,T,,0.7,16.2,,0,2,4.5,,,11,,36,3031092,,34,0.7,,,0,-1,3031092.2023.11.2,AB,CALGARY INTL A,1.8,2023,100,0,
-114.00029722222222,51.10944722222222,,53,2023-11-02 00:00:00,,,,,,16.6,,4,2,4.3,,,11,,34,3031094,,34,1,,,0,-1.6,3031094.2023.11.2,AB,CALGARY INT'L CS,1.4,2023,96,,
-114.37138888888889,51.10527777777778,,51,2023-11-02 00:00:00,,,,,,17.1,,,2,4.1,,,11,,32,3031109,,35,0,,,0,-2.3,3031109.2023.11.2,AB,CALGARY SPRINGBANK A,0.9,2023,97,,
-113.28583888888889,49.200575,,36,2023-11-02 00:00:00,,,,,,14.7,,,2,6.9,,,11,,,3031322,,,10,,,0,-0.2,3031322.2023.11.2,AB,CARDSTON,3.3,2023,96,,
-113.37611111111111,49.00055555555556,M,,2023-11-02 00:00:00,M,,,M,,,M,5,2,,M,M,11,,,3031402,M,,,M,M,,,3031402.2023.11.2,AB,CARWAY,,2023,,,M
-113.35027777777778,50.28194472222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3031480,M,,,M,M,,,3031480.2023.11.2,AB,CHAMPION AGDM,,2023,,,M
-113.63863611111111,50.00363055555555,,40,2023-11-02 00:00:00,,,,,,15.4,,8,2,7.7,,,11,,35,3031640,,24,0.4,,,0,-2.5,3031640.2023.11.2,AB,CLARESHOLM,2.6,2023,92,,
-114.22224722222222,51.076116666666664,,44,2023-11-02 00:00:00,,,,,,16.5,,,2,4,,,11,,34,3031875,,32,0.5,,,0,-0.9,3031875.2023.11.2,AB,COP UPPER,1.5,2023,96,,
-112.43333333333334,50.18333333333333,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3032422,M,,,M,M,,,3032422.2023.11.2,AB,ENCHANT AGDM,,2023,,,M
-111.0541688888889,49.552778333333336,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3032450,M,,,M,M,,,3032450.2023.11.2,AB,ETZIKOM AGCM,,2023,,,M
-112.03333333333333,49.8,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3032550,M,,,M,M,,,3032550.2023.11.2,AB,FINCASTLE AGDM,,2023,,,M
